nationality_group_en,gender_en,year,death_count,birth_count,nationality_group_ar,gender_ar
"Emirati","Females","2015","249","3870","إماراتي","إناث"
"Non Emirati","Females","2016","472","11367","غير إماراتي","إناث"
"Emirati","Males","2019","267","3624","إماراتي","ذكور"
"Non Emirati","Males","2015","1487","11555","غير إماراتي","ذكور"
"Emirati","Females","2018","210","3652","إماراتي","إناث"
"Emirati","Males","2017","304","3958","إماراتي","ذكور"
"Emirati","Females","2017","239","3810","إماراتي","إناث"
"Non Emirati","Females","2017","498","11654","غير إماراتي","إناث"
"Emirati","Males","2015","343","4161","إماراتي","ذكور"
"Non Emirati","Females","2015","475","10788","غير إماراتي","إناث"
"Non Emirati","Males","2019","1708","12827","غير إماراتي","ذكور"
"Non Emirati","Females","2019","551","11941","غير إماراتي","إناث"
"Non Emirati","Males","2016","1568","12373","غير إماراتي","ذكور"
"Non Emirati","Females","2018","550","11785","غير إماراتي","إناث"
"Non Emirati","Males","2017","1561","12393","غير إماراتي","ذكور"
"Emirati","Males","2016","351","4167","إماراتي","ذكور"
"Non Emirati","Males","2018","1595","12403","غير إماراتي","ذكور"
"Emirati","Females","2019","202","3474","إماراتي","إناث"
"Emirati","Females","2016","256","3980","إماراتي","إناث"
"Emirati","Males","2018","244","3762","إماراتي","ذكور"
