year_key,community_number_community_name_ar,id,load_timestamp,community_number_community_name_en,population
"null","243-القصيص الصناعية الثانية","239","2024-08-07 14:14:42","243-AL QUSAIS IND. SECOND","8834"
"null","618-ند الشبا الأولى","486","2024-08-07 14:14:42","618-NAD AL SHIBBA FIRST","6056"
"null","213-ند شما","992","2024-08-07 14:14:42","213-NAD SHAMMA","3378"
"null","922-اليلايس 2","493","2024-08-07 14:14:42","922-AL YALAYIS 2","1380"
"null","283-العياص","302","2024-08-07 14:14:42","283-AL AYAS","1757"
"null","674-الحبيه الأولى","121","2024-08-07 14:14:42","674-AL HEBIAH FIRST","9672"
"null","945-الفقع","742","2024-08-07 14:14:42","945-AL FAGAA","442"
"null","281-الخوانيج الأولى","304","2024-08-07 14:14:42","281-AL KHAWANEEJ ONE","12893"
"null","916-اليفره 2","1099","2024-08-07 14:14:42","916-AL YUFRAH 2","2008"
"null","228-الطوار الثالثة","246","2024-08-07 14:14:42","228-AL TWAR THIRD","10655"
"null","913-أم نهد الثالثة","584","2024-08-07 14:14:42","913-UMM NAHAD THIRD","1347"
"null","971-سيح الدحل","566","2024-08-07 14:14:42","971-SAIH AL DAHAL","3"
"null","234-القصيص الثالثة","242","2024-08-07 14:14:42","234-AL QUSAIS THIRD","7162"
"null","616-ند الشبا الثالثة","484","2024-08-07 14:14:42","616-NAD AL SHIBBA THIRD","1098"
"null","268-عود المطينة الثالثة","165","2024-08-07 14:14:42","268-OUD AL MUTEEN THIRD ","6344"
"null","643-وادي الصفا 2","199","2024-08-07 14:14:42","643-WADI AL SAFA 2","9623"
"null","337-زعبيل الثانية","901","2024-08-07 14:14:42","337-ZAABEEL SECOND","8568"
"null","631-حدائق الشيخ محمد بن راشد","1034","2024-08-07 14:14:42","631-HADAEQ SHEIKH MOHAMMED BIN RASHID","4692"
"null","531-سيح شعيب 2","17","2024-08-07 14:14:42","531-SAIH SHUAIB 2","13665"
"null","502-الواجهة البحرية","405","2024-08-07 14:14:42","502-AL WAJEHAH AL BHARIYAH","4"
"null","978-سيح شعيله","564","2024-08-07 14:14:42","978-SAIH SHUAALAH","3"
"null","673-البرشاء جنوب الثالثة","709","2024-08-07 14:14:42","673-AL BARSHA SOUTH THIRD","8573"
"null","319-عود ميثاء","558","2024-08-07 14:14:42","319-OUD METHA","15061"
"null","365-القوز الصناعية الثانية ","637","2024-08-07 14:14:42","365-AL GOZE IND. SECOND ","160517"
"null","991-حفير","450","2024-08-07 14:14:42","991-HEFAIR","0"
"null","987-الليان 1","43","2024-08-07 14:14:42","987-AL LAYAN 1","10"
"null","315-ام هرير الثانية","152","2024-08-07 14:14:42","315-UM HURAIR SECOND","4867"
"null","617-ند الشبا الرابعة","485","2024-08-07 14:14:42","617-NAD AL SHIBBA FOURTH","3779"
"null","971-سيح الدحل","737","2024-08-07 14:14:42","971-SAIH AL DAHAL","3"
"null","317-المنخول","865","2024-08-07 14:14:42","317-AL MANKHOOL","41244"
"null","394-الثنيه الرابعة (تلال الامارات الثالثة)","385","2024-08-07 14:14:42","394-AL THANYAH FOURTH (EMIRATE HILLS THIRD) ","27728"
"null","304-جزيرة جميرا 2","298","2024-08-07 14:14:42","304-JUMEIRA ISLAND 2","3"
"null","252-مشرف","232","2024-08-07 14:14:42","252-MUSHRAIF","67"
"null","381-نخلة جميرا ","910","2024-08-07 14:14:42","381-NAKHLAT JUMEIRA ","25550"
"null","724-نخلي","722","2024-08-07 14:14:42","724-ENKHALI","2"
"null","521-مدينة المطار","468","2024-08-07 14:14:42","521-MADINAT AL MATAAR","3404"
"null","134-الممزر","360","2024-08-07 14:14:42","134-AL MAMZER","14938"
"null","226-الطوار الأولى","248","2024-08-07 14:14:42","226-AL TWAR FIRST","11509"
"null","358-القوز الثالثة","774","2024-08-07 14:14:42","358-AL GOZE THIRD","50190"
"null","364-القوز الصناعية الأولى ","254","2024-08-07 14:14:42","364-AL GOZE IND. FIRST ","26075"
"null","731-لهباب الأولى","135","2024-08-07 14:14:42","731-LEHBAB FIRST","2921"
"null","367-ام الشيف","69","2024-08-07 14:14:42","367-UM AL SHEIF","4097"
"null","117-المرر","622","2024-08-07 14:14:42","117-AL MURAR","39227"
"null","626-ند حصة","463","2024-08-07 14:14:42","626-NADD HESSA","39131"
"null","241-النهدة الثانية","528","2024-08-07 14:14:42","241-AL NAHDA SECOND","62706"
