Year,Value,Age Group,الفئة العمرية,Gender,Item_id,الجنس
"2009","38864","0-4","4-0","Male","4260","ذكور"
"2009","32159","0-4","4-0","Female","4260","إناث"
"2009","40483","5-9","9-5","Male","4266","ذكور"
"2009","32717","5-9","9-5","Female","4266","إناث"
"2009","35450","10-14","14-10","Male","4272","ذكور"
"2009","28166","10-14","14-10","Female","4272","إناث"
"2009","31951","15-19","19-15","Male","4278","ذكور"
"2009","24813","15-19","19-15","Female","4278","إناث"
"2009","130636","20-24","24-20","Male","4284","ذكور"
"2009","49425","20-24","24-20","Female","4284","إناث"
"2009","284086","25-29","29-25","Male","4290","ذكور"
"2009","61851","25-29","29-25","Female","4290","إناث"
"2009","288695","30-34","34-30","Male","4296","ذكور"
"2009","58138","30-34","34-30","Female","4296","إناث"
"2009","221735","35-39","39-35","Male","4302","ذكور"
"2009","43292","35-39","39-35","Female","4302","إناث"
"2009","135932","40-44","44-40","Male","4308","ذكور"
"2009","29369","40-44","44-40","Female","4308","إناث"
"2009","80193","45-49","49-45","Male","4330","ذكور"
"2009","17891","45-49","49-45","Female","4330","إناث"
"2009","47270","50-54","54-50","Male","4342","ذكور"
"2009","11417","50-54","54-50","Female","4342","إناث"
"2009","20868","55-59","59-55","Male","4348","ذكور"
"2009","5466","55-59","59-55","Female","4348","إناث"
"2009","7340","60-64","64-60","Male","4354","ذكور"
"2009","2826","60-64","64-60","Female","4354","إناث"
"2009","2683","65-69","69-65","Male","4360","ذكور"
"2009","1479","65-69","69-65","Female","4360","إناث"
"2009","1640","70-74","74-70","Male","4366","ذكور"
"2009","1102","70-74","74-70","Female","4366","إناث"
"2009","995","75+","75+","Male","4373","ذكور"
"2009","471","75+","75+","Female","4373","إناث"
"2009","511","75+","75+","Male","4379","ذكور"
"2009","404","75+","75+","Female","4379","إناث"
"2009","192","75+","75+","Male","4385","ذكور"
"2009","127","75+","75+","Female","4385","إناث"
"2009","133","75+","75+","Male","4391","ذكور"
"2009","75","75+","75+","Female","4391","إناث"
"2009","83","75+","75+","Male","4392","ذكور"
"2009","50","75+","75+","Female","4392","إناث"
"2010","42135","0-4","4-0","Male","4260","ذكور"
"2010","33697","0-4","4-0","Female","4260","إناث"
"2010","43890","5-9","9-5","Male","4266","ذكور"
"2010","34282","5-9","9-5","Female","4266","إناث"
"2010","38435","10-14","14-10","Male","4272","ذكور"
"2010","29513","10-14","14-10","Female","4272","إناث"
"2010","34642","15-19","19-15","Male","4278","ذكور"
"2010","25998","15-19","19-15","Female","4278","إناث"
"2010","141634","20-24","24-20","Male","4284","ذكور"
"2010","51790","20-24","24-20","Female","4284","إناث"
"2010","307998","25-29","29-25","Male","4290","ذكور"
"2010","64810","25-29","29-25","Female","4290","إناث"
"2010","312991","30-34","34-30","Male","4296","ذكور"
